Fault,Size (meters)
Fault 1,0.0
Fault 2,92.5
Fault 3,177.5
Fault 4,70.0
Fault 5,45.0
Fault 6,27.5
Fault 7,52.5
Fault 8,195.0
Fault 9,15.0
Fault 10,177.5
Fault 11,52.5
Fault 12,37.5
Fault 13,25.0
Fault 14,77.5
Fault 15,40.0
Fault 16,12.5
Fault 17,27.5
Fault 18,57.5
Fault 19,50.0
Fault 20,32.5
Fault 21,17.5
Fault 22,25.0
Fault 23,35.0
Fault 24,120.0
Fault 25,80.0
Fault 26,25.0
Fault 27,25.0
Fault 28,862.5
Fault 29,2550.0
Fault 30,1115.0
Fault 31,85.0
Fault 32,32.5
Fault 33,5.0
Fault 34,67.5
Fault 35,12.5
Fault 36,37.5
Fault 37,50.0
Fault 38,42.5
Fault 39,77.5
Fault 40,67.5
Fault 41,105.0
Fault 42,45.0
Fault 43,115.0
Fault 44,677.5
Fault 45,550.0
Fault 46,165.0
Fault 47,52.5
Fault 48,292.5
Fault 49,105.0
Fault 50,47.5
Fault 51,325.0
Fault 52,12.5
Fault 53,10.0
Fault 54,37.5
Fault 55,602.5
Fault 56,22.5
Fault 57,940.0
Fault 58,65.0
Fault 59,27.5
Fault 60,42.5
Fault 61,90.0
Fault 62,15.0
Fault 63,1245.0
Fault 64,22.5
Fault 65,32.5
Fault 66,70.0
Fault 67,30.0
Fault 68,30.0
Fault 69,1002.5
Fault 70,5.0
Fault 71,187.5
Fault 72,105.0
Fault 73,30.0
Fault 74,77.5
Fault 75,75.0
Fault 76,2395.0
Fault 77,20.0
Fault 78,195.0
Fault 79,35.0
Fault 80,42.5
Fault 81,160.0
Fault 82,67.5
Fault 83,75.0
Fault 84,32.5
Fault 85,27.5
Fault 86,732.5
Fault 87,757.5
Fault 88,137.5
Fault 89,50.0
Fault 90,117.5
Fault 91,102.5
Fault 92,200.0
Fault 93,320.0
Fault 94,255.0
Fault 95,260.0
Fault 96,217.5
Fault 97,15.0
Fault 98,17.5
Fault 99,36455.0
Fault 100,25.0
Fault 101,30.0
Fault 102,62947.5
Fault 103,5327.5
Fault 104,22.5
Fault 105,195.0
Fault 106,35.0
Fault 107,52.5
Fault 108,35.0
Fault 109,15.0
Fault 110,615.0
Fault 111,142.5
Fault 112,227.5
Fault 113,27.5
Fault 114,70.0
Fault 115,95.0
Fault 116,132.5
Fault 117,162.5
Fault 118,252.5
Fault 119,25.0
Fault 120,42.5
Fault 121,25.0
Fault 122,22.5
Fault 123,17.5
Fault 124,1815.0
Fault 125,340.0
Fault 126,312.5
Fault 127,320.0
Fault 128,1950.0
Fault 129,470.0
Fault 130,50.0
Fault 131,155.0
Fault 132,82.5
Fault 133,37.5
Fault 134,337.5
Fault 135,100.0
Fault 136,6670.0
Fault 137,745.0
Fault 138,27.5
Fault 139,252.5
Fault 140,47.5
Fault 141,37.5
Fault 142,197.5
Fault 143,277.5
Fault 144,37.5
Fault 145,27.5
Fault 146,2697.5
Fault 147,25.0
Fault 148,1190.0
Fault 149,25.0
Fault 150,52.5
Fault 151,242.5
Fault 152,3142.5
Fault 153,645.0
Fault 154,690.0
Fault 155,45.0
Fault 156,55.0
Fault 157,165.0
Fault 158,25.0
Fault 159,30.0
Fault 160,197.5
Fault 161,427.5
Fault 162,42.5
Fault 163,20.0
Fault 164,25.0
Fault 165,17.5
Fault 166,230.0
Fault 167,85.0
Fault 168,312.5
Fault 169,175.0
Fault 170,162.5
Fault 171,20.0
Fault 172,130.0
Fault 173,47.5
Fault 174,255.0
Fault 175,15.0
Fault 176,785.0
Fault 177,282.5
Fault 178,40.0
Fault 179,125.0
Fault 180,32.5
Fault 181,290.0
Fault 182,50.0
Fault 183,80.0
Fault 184,85.0
Fault 185,65.0
Fault 186,12.5
Fault 187,4012.5
Fault 188,42692.5
Fault 189,17.5
Fault 190,107.5
Fault 191,2412.5
Fault 192,11210.0
Fault 193,140.0
Fault 194,0.0
Fault 195,115.0
Fault 196,97.5
Fault 197,40.0
Fault 198,62.5
Fault 199,270.0
Fault 200,57.5
Fault 201,12.5
Fault 202,20.0
Fault 203,17.5
Fault 204,12.5
Fault 205,27.5
Fault 206,175.0
Fault 207,235.0
Fault 208,80.0
Fault 209,107.5
Fault 210,160.0
Fault 211,15.0
Fault 212,30.0
Fault 213,4382.5
Fault 214,355.0
Fault 215,27.5
Fault 216,27.5
Fault 217,15.0
Fault 218,147.5
Fault 219,185.0
Fault 220,37.5
Fault 221,177.5
Fault 222,285.0
Fault 223,407.5
Fault 224,257.5
Fault 225,9782.5
Fault 226,22.5
Fault 227,185.0
Fault 228,142.5
Fault 229,512.5
Fault 230,437.5
Fault 231,192.5
Fault 232,17.5
Fault 233,1052.5
Fault 234,187.5
Fault 235,55.0
Fault 236,135.0
Fault 237,135.0
Fault 238,3350.0
Fault 239,20972.5
Fault 240,85.0
Fault 241,765.0
Fault 242,352960.0
Fault 243,107.5
Fault 244,182.5
Fault 245,77.5
Fault 246,1792.5
Fault 247,1200.0
Fault 248,40.0
Fault 249,172.5
Fault 250,955.0
Fault 251,102.5
Fault 252,45.0
Fault 253,705.0
Fault 254,135.0
Fault 255,35.0
Fault 256,420.0
Fault 257,4015.0
Fault 258,52.5
Fault 259,25.0
Fault 260,20.0
Fault 261,192.5
Fault 262,305.0
Fault 263,860.0
Fault 264,32.5
Fault 265,42.5
Fault 266,12.5
Fault 267,297.5
Fault 268,312.5
Fault 269,377.5
Fault 270,247.5
Fault 271,1112.5
Fault 272,2350.0
Fault 273,7.5
Fault 274,7.5
Fault 275,160.0
Fault 276,1460.0
Fault 277,1560.0
Fault 278,55.0
Fault 279,45.0
Fault 280,22562.5
Fault 281,17.5
Fault 282,30.0
Fault 283,475.0
Fault 284,7820.0
Fault 285,27.5
Fault 286,825.0
Fault 287,3732.5
Fault 288,165.0
Fault 289,55.0
Fault 290,20.0
Fault 291,112.5
Fault 292,152.5
Fault 293,3727.5
Fault 294,245.0
Fault 295,370.0
Fault 296,5832.5
Fault 297,565.0
Fault 298,4342.5
Fault 299,262.5
Fault 300,65.0
Fault 301,55.0
Fault 302,42.5
Fault 303,400.0
Fault 304,3725.0
Fault 305,2522.5
Fault 306,192.5
Fault 307,55.0
Fault 308,117.5
Fault 309,5.0
Fault 310,30.0
Fault 311,5.0
Fault 312,15.0
Fault 313,20.0
Fault 314,170.0
Fault 315,37.5
Fault 316,120.0
Fault 317,77.5
Fault 318,62.5
Fault 319,100.0
Fault 320,25.0
Fault 321,142.5
Fault 322,1187.5
Fault 323,25.0
Fault 324,195.0
Fault 325,72.5
Fault 326,177.5
Fault 327,75.0
Fault 328,377.5
Fault 329,25.0
Fault 330,857.5
Fault 331,12.5
Fault 332,15.0
Fault 333,75.0
Fault 334,217.5
Fault 335,90.0
Fault 336,1002.5
Fault 337,15.0
Fault 338,45215.0
Fault 339,11370.0
Fault 340,690.0
Fault 341,1127.5
Fault 342,60.0
Fault 343,57.5
Fault 344,182.5
Fault 345,282.5
Fault 346,70.0
Fault 347,245.0
Fault 348,345.0
Fault 349,2740.0
Fault 350,82.5
Fault 351,99667.5
Fault 352,20.0
Fault 353,687.5
